,Company,Title,Location,Time
0,Deloitte,Data Analyst,"Bengaluru, Karnataka, India",3 weeks ago
1,Deloitte,Data Analyst,"Pune, Maharashtra, India",3 weeks ago
2,slice,Data Analyst,"Bengaluru, Karnataka, India",3 weeks ago
3,LTIMindtree,Data Analyst - SQL,"Pune, Maharashtra, India",3 days ago
4,EaseMyTrip.com,Data Analyst,"Haryana, India",1 day ago
5,Unacademy,Data Analyst Intern,"Bangalore Urban, Karnataka, India",1 day ago
6,KPIT,Data Analyst,"Bengaluru, Karnataka, India",1 week ago
7,EXL,Data Analyst,"Gurugram, Haryana, India",3 weeks ago
8,Capgemini Engineering,Analyst,"Bengaluru, Karnataka, India",2 days ago
9,Genpact,Data Analyst,"Hyderabad, Telangana, India",2 weeks ago
10,Envision Energy,Data Analyst,"Bengaluru, Karnataka, India",4 days ago
11,Sun Life,Reporting Analyst,"Gurugram, Haryana, India",2 weeks ago
12,PW (PhysicsWallah),Data Analyst,"Noida, Uttar Pradesh, India",1 day ago
13,American Express,Analyst-Data Analytics,"Gurugram, Haryana, India",2 weeks ago
14,LTIMindtree,Data Analyst,"Chennai, Tamil Nadu, India",2 weeks ago
15,Aditya Birla Group,Team Member - Analytics,Mumbai Metropolitan Region,2 days ago
16,Genpact,Master Data Analyst,"Bengaluru, Karnataka, India",1 day ago
17,HP,Data Analyst,"Bengaluru, Karnataka, India",2 weeks ago
18,NielsenIQ,Data Analyst,"Vadodara, Gujarat, India",3 weeks ago
19,Artefact,Data Analyst,"Pune, Maharashtra, India",2 weeks ago
20,Nat Habit,Data Analyst,"Gurugram, Haryana, India",3 weeks ago
21,SMC Squared India,Data Analyst,"Bengaluru, Karnataka, India",2 weeks ago
22,Wipro,Data Management Analyst,"Pune, Maharashtra, India",3 weeks ago
23,ValueLabs,Data Analyst,"Hyderabad, Telangana, India",3 weeks ago
24,Centric Consulting,Data Analyst,"Gurugram, Haryana, India",2 weeks ago
25,Elevate Global,Data Analyst,"Bengaluru, Karnataka, India",2 weeks ago
26,Deloitte,Power BI - Banaglore,"Bengaluru, Karnataka, India",1 day ago
27,Reliance Industries Limited,Data Analyst,"Jamnagar, Gujarat, India",1 week ago
28,StatusNeo,Junior Data Analyst,"Gurugram, Haryana, India",2 weeks ago
29,American Express,Analyst-Data Science,"Gurugram, Haryana, India",1 week ago
30,Synechron,Data Analyst,"Pune, Maharashtra, India",1 day ago
31,Chai Point,Analyst,"Bengaluru, Karnataka, India",1 week ago
32,Experian,Analyst,"Hyderabad, Telangana, India",3 days ago
33,Tata Consultancy Services,Data Analyst,Greater Bengaluru Area,3 weeks ago
34,Anaplan,Data Analyst,Mumbai Metropolitan Region,1 week ago
35,American Express,Analyst-Data Science,"Gurugram, Haryana, India",1 week ago
36,Elevate Global,Data Analyst,"Bengaluru, Karnataka, India",2 weeks ago
37,The Good Glamm Group,Data Analyst,"Delhi, India",3 weeks ago
38,Zensar Technologies,DATA ANALYST,"Telangana, India",2 weeks ago
39,HTC Global Services,Data Analyst,"Bengaluru, Karnataka, India",1 week ago
40,Recro,Data Analyst,India,2 weeks ago
41,IGT Solutions,Data Analyst,"Gurugram, Haryana, India",3 days ago
42,Garena,Data Analyst,"Pune, Maharashtra, India",3 days ago
43,Google,"Business Intelligence Analyst, gTech Analytics, Platforms and Tools","Gurugram, Haryana, India",2 weeks ago
44,HH Global,Data Analyst,"Delhi, Delhi, India",1 day ago
45,Appinventiv,Data Analyst,"Noida, Uttar Pradesh, India",6 days ago
46,Appinventiv,Data Analyst,"Noida, Uttar Pradesh, India",3 weeks ago
47,Enrich Money,Insights Analyst,"Bengaluru, Karnataka, India",4 days ago
48,Jar,Senior Data Analyst,"Bengaluru, Karnataka, India",3 weeks ago
49,Morgan Stanley,Associate - India Data Management (Research),"Mumbai, Maharashtra, India",6 days ago
50,ADM,Risk & Data Analyst,"Gurugram, Haryana, India",3 weeks ago
51,Mondelēz International,"Analyst, Analytics",Mumbai Metropolitan Region,3 days ago
52,BrandSafway,Analyst - Data and Analytics,"Bengaluru, Karnataka, India",1 week ago
53,PwC India,Associate,"Mumbai, Maharashtra, India",3 weeks ago
54,YRAL,"BI Analyst (Data Dashboards, ETL, SQL)","Bengaluru, Karnataka, India",1 week ago
55,EXL,Analyst,"Gurugram, Haryana, India",2 weeks ago
56,Claro Energy,Data Analyst,"New Delhi, Delhi, India",2 weeks ago
57,GroundTruth,Data Analyst,India,1 day ago
58,ION,Junior Data Analyst,"Mumbai, Maharashtra, India",1 week ago
59,YipitData,Data Analyst,India,2 weeks ago
60,Elevate Global,Data Analyst,"Bengaluru, Karnataka, India",1 week ago
61,Deloitte,Power BI - Banaglore,"Bengaluru, Karnataka, India",1 day ago
62,Reliance Industries Limited,Data Analyst,"Jamnagar, Gujarat, India",1 week ago
63,StatusNeo,Junior Data Analyst,"Gurugram, Haryana, India",3 days ago
64,American Express,Analyst-Data Science,"Gurugram, Haryana, India",6 days ago
65,Synechron,Data Analyst,"Pune, Maharashtra, India",3 weeks ago
66,Chai Point,Analyst,"Bengaluru, Karnataka, India",4 days ago
67,Experian,Analyst,"Hyderabad, Telangana, India",6 days ago
68,Tata Consultancy Services,Data Analyst,Greater Bengaluru Area,3 weeks ago
69,American Express,Analyst-Data Science,"Gurugram, Haryana, India",3 days ago
70,Morgan Stanley,Associate - India Data Management (Research),"Mumbai, Maharashtra, India",1 week ago
71,ADM,Risk & Data Analyst,"Gurugram, Haryana, India",3 weeks ago
72,Mondelēz International,"Analyst, Analytics",Mumbai Metropolitan Region,1 week ago
73,BrandSafway,Analyst - Data and Analytics,"Bengaluru, Karnataka, India",2 weeks ago
74,YRAL,"BI Analyst (Data Dashboards, ETL, SQL)","Bengaluru, Karnataka, India",2 days ago
75,EXL,Analyst,"Gurugram, Haryana, India",2 weeks ago
76,Claro Energy,Data Analyst,"New Delhi, Delhi, India",2 weeks ago
77,GroundTruth,Data Analyst,India,1 week ago
78,ION,Junior Data Analyst,"Mumbai, Maharashtra, India",2 weeks ago
79,YipitData,Data Analyst,India,1 day ago
80,Nextiva,Data Analyst,Greater Bengaluru Area,2 days ago
81,Zensar Technologies,Data Analyst,"Pune, Maharashtra, India",2 weeks ago
82,OneOrigin,Data Analyst,"Bengaluru, Karnataka, India",2 weeks ago
83,Virtusa,Business Data Analyst,"Pune, Maharashtra, India",1 day ago
84,Gridware,Data Analyst (REMOTE) - Contractor Role,"Bengaluru, Karnataka, India",1 day ago
85,Techmantu Digital,Data Analyst,"Bengaluru, Karnataka, India",1 day ago
86,Stackave Solutions,Data Analyst,"Pune, Maharashtra, India",2 weeks ago
87,Kwalee,Data Analyst,"Bengaluru, Karnataka, India",1 week ago
88,Bytemetrics Solutions,Data Analyst Trainee(Required Fresher),"Pune, Maharashtra, India",1 day ago
89,NuvoRetail,Data Analyst,"Delhi, India",1 day ago
90,Deluxe,Senior Data Analyst,"Bengaluru, Karnataka, India",2 weeks ago
91,Adobe,BI Consultant,"Noida, Uttar Pradesh, India",1 day ago
92,Cognizant,Junior Data Analyst,"Pune, Maharashtra, India",1 day ago
93,CDK Global,Data Analyst,"Hyderabad, Telangana, India",1 day ago
94,Gigafactor Solutions,Data Analytics Trainee,"Visakhapatnam Rural mandal, India",2 days ago
95,Accobridge Solutions,Data Analysis Trainee Required,"Bengaluru, Karnataka, India",2 weeks ago
96,RecroconX Technologies,Data Analytics Trainee,"Pune, Maharashtra, India",1 day ago
97,EVERSANA,Associate,"Bengaluru, Karnataka, India",1 day ago
98,Tata Consultancy Services,Data Analytics,"Bangalore Urban, Karnataka, India",1 day ago
99,Bytemetrics Solutions,Data Analyst Trainee(Required Fresher),"Hyderabad, Telangana, India",1 day ago
100,RecroconX Technologies,Data Analytics Trainee-1,"Hyderabad, Telangana, India",1 day ago
101,Gainwell Technologies,Data Analyst with Healthcare domain,"Chennai, Tamil Nadu, India",1 week ago
102,Gigafactor Solutions,Data Analytics Trainee,"Hyderabad, Telangana, India",1 day ago
103,PrimefactorX,Data Analytics Trainee - 1,India,1 day ago
104,PrimefactorX,Data Analytics Trainee,"Hyderabad, Telangana, India",6 days ago
105,STOXX,Junior Data Analyst - ESG Data,Mumbai Metropolitan Region,1 day ago
106,Epsilon India,Senior Data Analyst,"Bengaluru, Karnataka, India",1 day ago
107,PrimefactorX,Data Analytics Trainee,India,1 day ago
108,PrimefactorX,Data Analytics Trainee,India,2 weeks ago
109,theprintspace,Business Data Analyst,India,3 weeks ago
110,Bytemetrics Solutions,Data Analytics Trainee,"Pune, Maharashtra, India",3 days ago
111,InnovateNuo Solutions,Data Analyst and Analytics Trainee (Remotely),India,1 week ago
112,PrimefactorX,Data Analytics Trainee,"Pune, Maharashtra, India",1 day ago
113,PwC India,Associate,"Pune, Maharashtra, India",1 day ago
114,American Express,Business Analyst-Data Analytics,"Gurgaon, Haryana, India",3 weeks ago
115,PrimefactorX,Data Analytics Trainee,"Pune, Maharashtra, India",1 day ago
116,InnovatexIQ Solutions,Data Analysis Trainee WFH,"Chennai, Tamil Nadu, India",1 day ago
117,JPMorganChase,Data Analytics - Analyst,"Bengaluru, Karnataka, India",3 weeks ago
118,Accobridge Solutions,Data Analysis Trainee Required,"Hyderabad, Telangana, India",4 days ago
119,Bytemetrics Solutions,Data Analysis Analyst Trainee,India,1 day ago
120,FuelBuddy,Data Analyst trainee,"Gurgaon, Haryana, India",1 day ago
121,Enlighten Schola,Data Analyst,"Surat, Gujarat, India",1 week ago
122,Ares Management Corporation,Data Analyst,Mumbai Metropolitan Region,1 week ago
123,ANZ,Risk Data & Governance Analyst,"Bengaluru, Karnataka, India",1 day ago
124,Adani Green Energy Ltd.,Assistant Manager - Power BI,"Ahmedabad, Gujarat, India",3 weeks ago
125,Globewick,Data Analysis,"Sonipat, Haryana, India",1 day ago
126,RecroconX Technologies,Data Analytics Trainee-1,"Bengaluru, Karnataka, India",1 day ago
127,Adept Global,Data Analyst,"Mumbai, Maharashtra, India",3 days ago
128,PINKERTON | Comprehensive Risk Management,Data Analyst,"Gurgaon, Haryana, India",1 day ago
129,Bytemetrics Solutions,Data Analytics Trainee,"Bengaluru, Karnataka, India",1 day ago
130,Bytemetrics Solutions,Data Analysis or Analyst Trainee,"Bengaluru, Karnataka, India",1 day ago
131,Thoucentric,Data Analyst,"Bengaluru East, Karnataka, India",1 day ago
132,Atidiv,Decision Analytics Associate,"Pune, Maharashtra, India",1 day ago
133,STOXX,Junior Data Analyst,Mumbai Metropolitan Region,1 day ago
134,Accobridge Solutions,Data Analysis Trainee Required,India,1 day ago
135,Idyllic Services,Business Data Analyst,"Pune, Maharashtra, India",3 weeks ago
136,Recro,Senior Data Analyst,"Pune, Maharashtra, India",1 day ago
137,Cloud Counselage Pvt. Ltd.,Jr. Data Analyst,Mumbai Metropolitan Region,1 week ago
138,Bytemetrics Solutions,Data Analysis or Analyst Trainee,"Visakhapatnam Rural mandal, India",1 day ago
139,Bristlecone,Power BI,"Bengaluru, Karnataka, India",2 days ago
140,Accobridge Solutions,Data Analysis Trainee Required,"Pune, Maharashtra, India",1 day ago
141,RecroconX Technologies,Data Analytics Trainee-1,"Chennai, Tamil Nadu, India",1 day ago
142,EXL,Tableau Analyst,"Gurugram, Haryana, India",1 day ago
143,Gigafactor Solutions,Data Analyst Trainee,"Pune, Maharashtra, India",3 weeks ago
144,Bytemetrics Solutions,Data Analytics Trainee,"Chennai, Tamil Nadu, India",3 days ago
145,PrimefactorX,Data Analytics Trainee,"Bengaluru, Karnataka, India",1 day ago
146,WeRize,Data Analyst,"Bengaluru, Karnataka, India",1 week ago
147,InnovateNuo Solutions,Data Analytics Trainee [Required],"Delhi, India",1 day ago
148,PrimefactorX,Data Analytics Trainee - 1,"Navi Mumbai, Maharashtra, India",1 week ago
149,Gigafactor Solutions,Data Analyst Trainee,"Bengaluru, Karnataka, India",2 weeks ago
150,Recro,Marketing Data Analyst,"Bengaluru, Karnataka, India",1 day ago
151,Innovateshield Solutions,Data Analyst Trainee,"Bengaluru, Karnataka, India",1 week ago
152,Mastercard,"Associate Analyst, Analytics & Metrics-2-R-232373","Gurgaon, Haryana, India",3 days ago
153,InnovateNuo Solutions,Data Analyst and Analytics Trainee (Remotely),"Navi Mumbai, Maharashtra, India",2 weeks ago
154,Soul AI,Data Analyst,India,1 week ago
155,Innovateshield Solutions,Data Analyst Trainee,"Pune, Maharashtra, India",2 weeks ago
